name,price,url
Philips HD7462/20 Daily Collection Filtre Kahve Makinesi,1.988.39 +116 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-philips-hd7462-20-daily-collection-kahve-makinesi-fiyati,4641698.html"
Philips HD7430/90 Essentials Collection Filtre Kahve Makinesi,2.287.12 +15 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-philips-hd7430-90-fiyati,895441810.html"
Vestel Taze Öğütücülü Filtre Kahve Makinesi,3.799.00 +22 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-vestel-taze-ogutuculu-kahve-makinesi-fiyati,577340581.html"
Homend Coffeebreak 5009H Öğütücülü Filtre Kahve Makinesi,3.429.02 +22 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-homend-coffeebreak-5009h-ogutuculu-fiyati,923650556.html"
Karaca Just Coffee Aroma 2in1 Çay ve Filtre Kahve Makinesi,1.599.00 +124 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-karaca-just-coffee-aroma-2-in-1-cay-ve-fiyati,1819501366.html"
Schafer Robusta Siyah Filtre Kahve Makinesi,1.269.00 +23 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-schafer-robusta-filtre-siyah-fiyati,1627087655.html"
Philips HD7459/20 Daily Collection Filtre Kahve Makinesi,2.600.00 +34 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-philips-hd7459-20-daily-collection-fiyati,448722999.html"
Kiwi KCM 7542 Filtre Kahve Makinesi,695.00 +19 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-kiwi-kcm-7542-filtre-fiyati,1757287173.html"
Philips HD7461/20 Daily Collection Siyah Filtre Kahve Makinesi,2.149.85 +106 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-philips-hd7461-20-daily-collection-siyah-fiyati,292246497.html"
Electrolux E5CM1-6ST Aroma Zaman Ayarlı Filtre Kahve Makinesi,3.199.20 +32 FİYAT,"https://www.akakce.com/filtre-kahve-makinesi/en-ucuz-electrolux-e5cm1-6st-create-5-aroma-zaman-ayarli-fiyati,399998757.html"
